course_branch_id;course_lesson_id;course_module_id;course_branch_lesson_order;course_branch_lesson_name
"351";"5107";"5107";0;""
"351";"5110";"5110";0;"0.1. Введение в курс."
"351";"5108";"5108";0;"0.2. Вася и HR компании."
"351";"6475";"6475";0;"Пролог"
"351";"5114";"5114";0;"1.2. Введение в Python."
"351";"5113";"5113";0;"1.3. Основы программирования на Python."
"351";"5115";"5115";0;"1.4. Структуры данных."
"351";"5116";"5116";0;"1.6. Массивы. Матричные вычисления."
"351";"5112";"5112";0;"1.1. Кейс раздела."
"351";"6078";"6078";0;"1.8. Контроль раздела. Дополнительные материалы."
"351";"6079";"6079";0;"2.0. ВВОДНАЯ"
"351";"8143";"8143";0;"Решение уравнений и систем"
"351";"6081";"6081";0;"2.1. Погрешность машинных вычислений"
"351";"6082";"6082";0;"2.2. Формат с плавающей запятой. Оценка погрешности вычислений"
"351";"6083";"6083";0;"2.3. Решение нелинейных уравнений"
"351";"6084";"6084";0;"2.4. Решение систем (не)линейных уравнений"
"351";"6080";"6080";0;"2.5. Кейс раздела"
"351";"6085";"6085";0;"2.5. Моделирование движения управляемого робота"
"351";"5117";"5117";0;"1.7. Графический анализ данных и функций."
"351";"6086";"6086";0;"3.1. 1D-интерполяция"
"351";"6087";"6087";0;"2D-интерполяция"
"351";"6088";"6088";0;"3.3. Кейс"
"351";"8088";"8088";0;"РАЗДЕЛ 4"
"351";"6089";"6089";0;"4.1. Линейный регрессионный анализ"
"351";"8089";"8089";0;""
"351";"6090";"6090";0;"4.2. Логистическая регрессия"
"351";"6091";"6091";0;"Экзамен"
"351";"6092";"6092";0;""