event_id;event_name
\mod_data\event\comment_deleted;Комментарий удален
\mod_data\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_data\event\course_module_viewed;Модуль курса просмотрен
\mod_data\event\field_created;Поле создано
\mod_data\event\field_deleted;Поле удалено
\mod_data\event\field_updated;Поле обновлено
\mod_data\event\record_created;Запись создана
\mod_data\event\record_deleted;Запись удалена
\mod_data\event\record_updated;Запись обновлена
\mod_data\event\template_updated;Шаблон обновлен
\mod_data\event\template_viewed;Шаблоны просмотрены
\mod_feedback\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_feedback\event\course_module_viewed;Модуль курса просмотрен
\mod_feedback\event\response_deleted;Ответ удален
\mod_feedback\event\response_submitted;Ответ представлен
\mod_folder\event\all_files_downloaded;Zip-архив или папка скачаны
\mod_folder\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_folder\event\course_module_viewed;Модуль курса просмотрен
\mod_folder\event\folder_updated;Папка обновлена
\mod_forum\event\assessable_uploaded;Опубликована некоторая информация.
\mod_forum\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_forum\event\course_module_viewed;Модуль курса просмотрен
\mod_forum\event\course_searched;Осуществлен поиск курса
\mod_forum\event\discussion_created;Тема создана
\mod_forum\event\discussion_deleted;Тема удалена
\mod_forum\event\discussion_moved;Тема перемещена
\mod_forum\event\discussion_pinned;Обсуждение закреплено
\mod_forum\event\discussion_subscription_created;Подписка на тему создана
\mod_forum\event\discussion_subscription_deleted;Подписка на тему удалена
\mod_forum\event\discussion_unpinned;Обсуждение откреплено
\mod_forum\event\discussion_updated;Тема обновлена
\mod_forum\event\discussion_viewed;Тема просмотрена
\mod_forum\event\post_created;Сообщение создано
\mod_forum\event\post_deleted;Сообщение удалено
\mod_forum\event\post_updated;Сообщение обновлено
\mod_forum\event\readtracking_disabled;Отслеживание непрочитанных сообщений отключено
\mod_forum\event\readtracking_enabled;Отслеживание непрочитанных сообщений включено
\mod_forum\event\subscribers_viewed;Список подписчиков просмотрен
\mod_forum\event\subscription_created;Подписка создана
\mod_forum\event\subscription_deleted;Подписка удалена
\mod_forum\event\user_report_viewed;Отчет по пользователю просмотрен
\mod_glossary\event\category_created;Категория создана
\mod_glossary\event\category_deleted;Категория удалена
\mod_glossary\event\category_updated;Категория обновлена
\mod_glossary\event\comment_created;Комментарий создан
\mod_glossary\event\comment_deleted;Комментарий удален
\mod_glossary\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_glossary\event\course_module_viewed;Модуль курса просмотрен
\mod_glossary\event\entry_approved;Запись одобрена
\mod_glossary\event\entry_created;Запись создана
\mod_glossary\event\entry_deleted;Запись удалена
\mod_glossary\event\entry_disapproved;Запись не одобрена
\mod_glossary\event\entry_updated;Запись обновлена
\mod_glossary\event\entry_viewed;Запись просмотрена
\mod_h5pactivity\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_h5pactivity\event\course_module_viewed;Модуль курса просмотрен
\mod_h5pactivity\event\report_viewed;Отчет просмотрен
\mod_h5pactivity\event\statement_received;xAPI получено
\mod_hsuforum\event\assessable_uploaded;Содержимое было размещено
\mod_hsuforum\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_hsuforum\event\course_module_viewed;Модуль курса просмотрен
\mod_hsuforum\event\course_searched;Поиск курса
\mod_hsuforum\event\discussion_created;Тема создана
\mod_hsuforum\event\discussion_deleted;Тема удалена
\mod_hsuforum\event\discussion_moved;Тема перемещена
\mod_hsuforum\event\discussion_pinned;Обсуждение закреплено
\mod_hsuforum\event\discussion_subscription_created;[[eventdiscussionsubscriptioncreated]]
\mod_hsuforum\event\discussion_subscription_deleted;[[eventdiscussionsubscriptiondeleted]]
\mod_hsuforum\event\discussion_unpinned;Обсуждение откреплено
\mod_hsuforum\event\discussion_updated;Тема обновлена
\mod_hsuforum\event\discussion_viewed;Тема просмотрена
\mod_hsuforum\event\post_created;Сообщение создано
\mod_hsuforum\event\post_deleted;Сообщение удалено
\mod_hsuforum\event\post_updated;Сообщение обновлено
\mod_hsuforum\event\readtracking_disabled;Отслеживание непрочитанных сообщений отключено
\mod_hsuforum\event\readtracking_enabled;Отслеживание непрочитанных сообщений включено
\mod_hsuforum\event\subscribers_viewed;Просмотр подписчиков
\mod_hsuforum\event\subscription_created;Подписка создана
\mod_hsuforum\event\subscription_deleted;Подписка удалена
\mod_hsuforum\event\user_report_viewed;Просмотр отчета пользователя
\mod_iforum\event\assessable_uploaded;Содержимое было размещено
\mod_iforum\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_iforum\event\course_module_viewed;Модуль курса просмотрен
\mod_iforum\event\course_searched;Поиск курса
\mod_iforum\event\discussion_created;Тема создана
\mod_iforum\event\discussion_deleted;Тема удалена
\mod_iforum\event\discussion_moved;Тема перемещена
\mod_iforum\event\discussion_pinned;Обсуждение закреплено
\mod_iforum\event\discussion_subscription_created;[[eventdiscussionsubscriptioncreated]]
\mod_iforum\event\discussion_subscription_deleted;[[eventdiscussionsubscriptiondeleted]]
\mod_iforum\event\discussion_unpinned;Обсуждение откреплено
\mod_iforum\event\discussion_updated;Тема обновлена
\mod_iforum\event\discussion_viewed;Тема просмотрена
\mod_iforum\event\post_created;Сообщение создано
\mod_iforum\event\post_deleted;Сообщение удалено
\mod_iforum\event\post_updated;Сообщение обновлено
\mod_iforum\event\readtracking_disabled;Отслеживание непрочитанных сообщений отключено
\mod_iforum\event\readtracking_enabled;Отслеживание непрочитанных сообщений включено
\mod_iforum\event\subscribers_viewed;Просмотр подписчиков
\mod_iforum\event\subscription_created;Подписка создана
\mod_iforum\event\subscription_deleted;Подписка удалена
\mod_iforum\event\user_report_viewed;Просмотр отчета пользователя
\mod_imscp\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_imscp\event\course_module_viewed;Модуль курса просмотрен
\mod_itstest\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_itstest\event\course_module_viewed;Модуль курса просмотрен
\mod_lesson\event\content_page_viewed;Содержимое страницы просмотрено
\mod_lesson\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_lesson\event\course_module_viewed;Модуль курса просмотрен
\mod_lesson\event\essay_assessed;Эссе оценено
\mod_lesson\event\essay_attempt_viewed;Ответ на задание типа «Эссе» просмотрен
\mod_lesson\event\group_override_created;Переопределение лекции создано
\mod_lesson\event\group_override_deleted;Переопределение лекции удалено
\mod_lesson\event\group_override_updated;Переопределение лекции обновлено
\mod_lesson\event\highscore_added;[[eventhighscoreadded]]
\mod_lesson\event\highscores_viewed;[[eventhighscoresviewed]]
\mod_lesson\event\lesson_ended;Лекция закончена
\mod_lesson\event\lesson_restarted;Лекция начата заново
\mod_lesson\event\lesson_resumed;Лекция продолжена
\mod_lesson\event\lesson_started;Лекция начата
\mod_lesson\event\page_created;Страница создана
\mod_lesson\event\page_deleted;Страница удалена
\mod_lesson\event\page_moved;Страница перемещена
\mod_lesson\event\page_updated;Страница обновлена
\mod_lesson\event\question_answered;Дан ответ на вопрос
\mod_lesson\event\question_viewed;Вопрос просмотрен
\mod_lesson\event\user_override_created;Переопределение лекции создано
\mod_lesson\event\user_override_deleted;Переопределение лекции удалено
\mod_lesson\event\user_override_updated;Переопределение лекции обновлено
\mod_lti\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_lti\event\course_module_viewed;Модуль курса просмотрен
\mod_lti\event\unknown_service_api_called;Вызов API неизвестного сервиса LTI.
\mod_page\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_page\event\course_module_viewed;Модуль курса просмотрен
\mod_questionnaire\event\all_responses_deleted;Все ответы удалены
\mod_questionnaire\event\all_responses_saved_as_text;Все ответы сохранены в виде текста
\mod_questionnaire\event\all_responses_viewed;Просмотрен отчет «Все ответы»
\mod_questionnaire\event\attempt_resumed;Попытка возобновлена
\mod_questionnaire\event\attempt_saved;Ответы сохранены
\mod_questionnaire\event\attempt_submitted;Ответы сданы
\mod_questionnaire\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_questionnaire\event\course_module_viewed;Модуль курса просмотрен
\mod_questionnaire\event\non_respondents_viewed;Просмотрен список не сдавших ответы
\mod_questionnaire\event\question_created;Вопрос создан
\mod_questionnaire\event\question_deleted;Вопрос удален
\mod_questionnaire\event\questionnaire_previewed;Осуществлен предварительный просмотр анкетного опроса
\mod_questionnaire\event\response_deleted;Индивидуальный ответ удален
\mod_questionnaire\event\response_viewed;Просмотрен отчет «Индивидуальный ответ»
\mod_quiz\event\attempt_abandoned;Попытка теста брошена
\mod_quiz\event\attempt_becameoverdue;Превышено ограничение времени на попытку теста
\mod_quiz\event\attempt_deleted;Попытка теста удалена
\mod_quiz\event\attempt_preview_started;Начата попытка предварительного просмотра теста
\mod_quiz\event\attempt_regraded;Попытка теста заново оценена
\mod_quiz\event\attempt_reviewed;Завершенная попытка теста просмотрена
\mod_quiz\event\attempt_started;Начата попытка теста
\mod_quiz\event\attempt_submitted;Попытка теста завершена и отправлена на оценку
\mod_quiz\event\attempt_summary_viewed;Сводка попытки теста просмотрена
\mod_quiz\event\attempt_viewed;Попытка теста просмотрена
\mod_quiz\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_quiz\event\course_module_viewed;Модуль курса просмотрен
\mod_quiz\event\edit_page_viewed;Страница редактирования теста просмотрена
\mod_quiz\event\group_override_created;Переопределение теста создано
\mod_quiz\event\group_override_deleted;Переопределение теста удалено
\mod_quiz\event\group_override_updated;Переопределение теста обновлено
\mod_quiz\event\question_manually_graded;Вопрос оценен вручную
\mod_quiz\event\report_viewed;Отчет по тесту просмотрен
\mod_quiz\event\user_override_created;Переопределение теста создано
\mod_quiz\event\user_override_deleted;Переопределение теста удалено
\mod_quiz\event\user_override_updated;Переопределение теста обновлено
\mod_resource\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_resource\event\course_module_viewed;Модуль курса просмотрен
\mod_scorm\event\attempt_deleted;Попытка удалена
\mod_scorm\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_scorm\event\course_module_viewed;Модуль курса просмотрен
\mod_scorm\event\interactions_viewed;Взаимодействия просмотрены
\mod_scorm\event\report_viewed;Отчет просмотрен
\mod_scorm\event\sco_launched;Sco запущен
\mod_scorm\event\scoreraw_submitted;Отправленный сырой балл SCORM
\mod_scorm\event\status_submitted;Отправленный статус SCORM
\mod_scorm\event\tracks_viewed;Треки просмотренны
\mod_scorm\event\user_report_viewed;Рассмотрен отчет по пользователю
\mod_simplecertificate\event\certificate_verified;Сертификат подтвержден
\mod_simplecertificate\event\course_module_viewed;Модуль курса просмотрен
\mod_studentquiz\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_studentquiz\event\course_module_viewed;Модуль курса просмотрен
\mod_studentquiz\event\studentquiz_digest_changed;mod_studentquiz: studentquiz digest changed
\mod_studentquiz\event\studentquiz_questionbank_viewed;mod_studentquiz: studentquiz questionbank viewed
\mod_studentquiz\event\studentquiz_report_quiz_viewed;mod_studentquiz: studentquiz report quiz viewed
\mod_studentquiz\event\studentquiz_report_rank_viewed;mod_studentquiz: studentquiz report rank viewed
\mod_survey\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_survey\event\course_module_viewed;Модуль курса просмотрен
\mod_survey\event\report_downloaded;Скачан отчет по анкете
\mod_survey\event\report_viewed;Показан отчет по анкете
\mod_survey\event\response_submitted;Ответ на анкету отправлен
\mod_url\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_url\event\course_module_viewed;Модуль курса просмотрен
\mod_videofile\event\course_module_viewed;Модуль курса просмотрен
\mod_vpl\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_vpl\event\submission_base;mod_vpl: submission base
\mod_vpl\event\submission_debugged;mod_vpl: submission debugged
\mod_vpl\event\submission_deleted;mod_vpl: submission deleted
\mod_vpl\event\submission_edited;mod_vpl: submission edited
\mod_vpl\event\submission_evaluated;mod_vpl: submission evaluated
\mod_vpl\event\submission_grade_deleted;mod_vpl: submission grade deleted
\mod_vpl\event\submission_graded;mod_vpl: submission graded
\mod_vpl\event\submission_grade_updated;mod_vpl: submission grade updated
\mod_vpl\event\submission_grade_viewed;mod_vpl: submission grade viewed
\mod_vpl\event\submission_previous_upload_viewed;mod_vpl: submission previous upload viewed
\mod_vpl\event\submission_run;mod_vpl: submission run
\mod_vpl\event\submission_uploaded;mod_vpl: submission uploaded
\mod_vpl\event\submission_viewed;mod_vpl: submission viewed
\mod_vpl\event\variation_added;mod_vpl: variation added
\mod_vpl\event\variation_assigned;mod_vpl: variation assigned
\mod_vpl\event\variation_base;mod_vpl: variation base
\mod_vpl\event\variation_deleted;mod_vpl: variation deleted
\mod_vpl\event\variation_updated;mod_vpl: variation updated
\mod_vpl\event\vpl_all_submissions_downloaded;mod_vpl: vpl all submissions downloaded
\mod_vpl\event\vpl_all_submissions_viewed;mod_vpl: vpl all submissions viewed
\mod_vpl\event\vpl_base;mod_vpl: vpl base
\mod_vpl\event\vpl_checkvpls;mod_vpl: vpl checkvpls
\mod_vpl\event\vpl_description_viewed;mod_vpl: vpl description viewed
\mod_vpl\event\vpl_diff_viewed;mod_vpl: vpl diff viewed
\mod_vpl\event\vpl_execution_keeplist_updated;mod_vpl: vpl execution keeplist updated
\mod_vpl\event\vpl_execution_keeplist_viewed;mod_vpl: vpl execution keeplist viewed
\mod_vpl\event\vpl_execution_limits_updated;mod_vpl: vpl execution limits updated
\mod_vpl\event\vpl_execution_limits_viewed;mod_vpl: vpl execution limits viewed
\mod_vpl\event\vpl_execution_localjails_updated;mod_vpl: vpl execution localjails updated
\mod_vpl\event\vpl_execution_localjails_viewed;mod_vpl: vpl execution localjails viewed
\mod_vpl\event\vpl_execution_options_updated;mod_vpl: vpl execution options updated
\mod_vpl\event\vpl_execution_options_viewed;mod_vpl: vpl execution options viewed
\mod_vpl\event\vpl_jail_servers_tested;mod_vpl: vpl jail servers tested
\mod_vpl\event\vpl_security;mod_vpl: vpl security
\mod_vpl\event\vpl_security_webservice;mod_vpl: vpl security webservice
\mod_vpl\event\vpl_similarity_form_viewed;mod_vpl: vpl similarity form viewed
\mod_vpl\event\vpl_similarity_report_viewed;mod_vpl: vpl similarity report viewed
\mod_vpl\event\vpl_variation_updated;mod_vpl: vpl variation updated
\mod_vpl\event\vpl_watermark_report_viewed;mod_vpl: vpl watermark report viewed
\mod_vpl\event\vpl_webservice_token_viewed;mod_vpl: vpl webservice token viewed
\mod_wiki\event\comment_created;Комментарий создан
\mod_wiki\event\comment_deleted;Комментарий удален
\mod_wiki\event\comments_viewed;Комментарии просмотрены
\mod_wiki\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_wiki\event\course_module_viewed;Модуль курса просмотрен
\mod_wiki\event\page_created;Страница вики создана
\mod_wiki\event\page_deleted;Страница вики удалена
\mod_wiki\event\page_diff_viewed;Показаны изменения Вики
\mod_wiki\event\page_history_viewed;Показана история Вики
\mod_wiki\event\page_locks_deleted;Страница вики разблокирована
\mod_wiki\event\page_map_viewed;Показана карта страниц Вики
\mod_wiki\event\page_updated;Страница вики обновлена
\mod_wiki\event\page_version_deleted;Версия страницы вики удалена
\mod_wiki\event\page_version_restored;Версия вики восстановлена
\mod_wiki\event\page_version_viewed;Версия страницы вики просмотрена
\mod_wiki\event\page_viewed;Страница вики просмотрена
\mod_workshop\event\assessable_uploaded;Работа была загружена
\mod_workshop\event\assessment_evaluated;Оценка вычислена
\mod_workshop\event\assessment_evaluations_reset;Сброшено вычисление оценки
\mod_workshop\event\assessment_reevaluated;Оценка переопределена
\mod_workshop\event\assessments_reset;Оценки работы очищены
\mod_workshop\event\course_module_instance_list_viewed;Список экземпляров модуля в курсе просмотрен
\mod_workshop\event\course_module_viewed;Модуль курса просмотрен
\mod_workshop\event\phase_switched;Фаза переключена
\mod_workshop\event\submission_assessed;Работа оценена
\mod_workshop\event\submission_created;Представление работы создано
\mod_workshop\event\submission_deleted;Ответ удален
\mod_workshop\event\submission_reassessed;Работа переоценена
\mod_workshop\event\submission_updated;Работа обновлена
\mod_workshop\event\submission_viewed;Работа просмотрена
\block_comments\event\comment_created;Комментарий создан
\block_comments\event\comment_deleted;Комментарий удален
\block_xp\event\user_leveledup;Уровень пользователя повышен
\format_tiles\event\label_converted;Преобразовать в страницу
\report_completion\event\report_viewed;Отчет «Завершение курса» просмотрен
\report_completion\event\user_report_viewed;Отчет «Завершение курса» по пользователю просмотрен
\report_editdates\event\report_viewed;Просмотрен отчет «Границы времени элементов»
\report_log\event\report_viewed;Отчет «Журнал событий» просмотрен
\report_log\event\user_report_viewed;Отчет «Журнал событий» по пользователю просмотрен
\report_loglive\event\report_viewed;Отчет «События в реальном времени» просмотрен
\report_outline\event\activity_report_viewed;Отчет «Отчет о деятельности» по курсу просмотрен
\report_outline\event\report_viewed;Отчет «Отчет о деятельности» по пользователю просмотрен
\report_participation\event\report_viewed;Показан отчет об участии.
\report_questioninstances\event\report_viewed;Отчет «Экземпляры вопросов» просмотрен
\report_security\event\report_viewed;Просмотрен отчет о проверке безопасности
\report_stats\event\report_viewed;Отчет «Статистика» просмотрен
\report_stats\event\user_report_viewed;Отчет «Статистика» для участника курса просмотрен
\gradeexport_ods\event\grade_exported;Оценки экспортированы в OpenDocument
\gradeexport_txt\event\grade_exported;Оценки экспортированы в формат TXT
\gradeexport_xls\event\grade_exported;Оценки экспортированы в формат XLS
\gradeexport_xml\event\grade_exported;Оценки экспортированы в формат XML
\gradereport_grader\event\grade_report_viewed;Отчет «Отчет по оценкам» просмотрен
\gradereport_history\event\grade_report_viewed;Отчет «История оценок» просмотрен
\gradereport_outcomes\event\grade_report_viewed;Отчет «Отчет по показателям» просмотрен
\gradereport_overview\event\grade_report_viewed;Отчет «Обзорный отчет» просмотрен
\gradereport_singleview\event\grade_report_viewed;Показан отчет по оценкам (одиночный вид).
\gradereport_user\event\grade_report_viewed;Отчет «Отчет по пользователю» просмотрен
\tool_brickfield\event\analysis_requested;Запрошен анализ контента
\tool_brickfield\event\report_downloaded;Сводка общедоступности скачана
\tool_brickfield\event\report_viewed;Отчет общедоступности просмотрен
\tool_capability\event\report_viewed;Отчет «Отчет о правах» просмотрен
\tool_langimport\event\langpack_imported;Языковой пакет установлен
\tool_langimport\event\langpack_removed;Языковой пакет удален
\tool_langimport\event\langpack_updated;Языковой пакет обновлен
\tool_monitor\event\rule_created;Правило создано
\tool_monitor\event\rule_deleted;Правило удалено
\tool_monitor\event\rule_updated;Правило обновлено
\tool_monitor\event\subscription_created;Подписка создана
\tool_monitor\event\subscription_criteria_met;Возникла ситуация, на уведомление о которой осуществлена подписка
\tool_monitor\event\subscription_deleted;Подписка на уведомление о срабатывании правила удалена
\tool_policy\event\acceptance_created;Создано согласие пользователя с политикой
\tool_policy\event\acceptance_updated;Обновлено согласие пользователя с политикой
\tool_recyclebin\event\category_bin_item_created;Объект создан
\tool_recyclebin\event\category_bin_item_deleted;Объект удален
\tool_recyclebin\event\category_bin_item_restored;Объект восстановлен
\tool_recyclebin\event\course_bin_item_created;Объект создан
\tool_recyclebin\event\course_bin_item_deleted;Объект удален
\tool_recyclebin\event\course_bin_item_restored;Объект восстановлен
\tool_usertours\event\step_shown;Шаг тура отображен
\tool_usertours\event\tour_ended;Тур закончен
\tool_usertours\event\tour_reset;Тур сброшен
\tool_usertours\event\tour_started;Тур начат
\local_advanced_expertise\event\upload_archive_analyzed;[[event_upload_archive_analyzed]]
\local_eg_training\event\eg_training_module_viewed;Модуль тренажёра по инженерной графике просмотрен
\assignsubmission_comments\event\comment_created;Комментарий создан
\assignsubmission_comments\event\comment_deleted;Комментарий удален
\assignsubmission_file\event\assessable_uploaded;Файл был загружен.
\assignsubmission_file\event\submission_created;Представлен ответ
\assignsubmission_file\event\submission_updated;Представленный ответ обновлен.
\assignsubmission_onlinetext\event\assessable_uploaded;Текст был загружен
\assignsubmission_onlinetext\event\submission_created;Представлен ответ
\assignsubmission_onlinetext\event\submission_updated;Представленный ответ обновлен.
\booktool_exportimscp\event\book_exported;Книга экспортирована
\booktool_print\event\book_printed;Книга напечатана
\booktool_print\event\chapter_printed;Глава напечатана
\forumreport_summary\event\report_downloaded;Сводный отчет форума загружен
\forumreport_summary\event\report_viewed;Сводный отчет форума просмотрен
\quizaccess_seb\event\access_prevented;Доступ к тесту был заблокирован
\quizaccess_seb\event\template_created;Шаблон SEB был создан
\quizaccess_seb\event\template_deleted;Шаблон SEB был удален
\quizaccess_seb\event\template_disabled;Шаблон SEB был отключен
\quizaccess_seb\event\template_enabled;Шаблон SEB был включен
\quizaccess_seb\event\template_updated;Шаблон SEB был обовлен